sugars_100g_scaled,carbohydrates_100g_scaled,fiber_100g_scaled,fat_100g_scaled,saturated-fat_100g_scaled,proteins_100g_scaled,salt_100g_scaled,sodium_100g_scaled,energy_100g_scaled,nutrition-score-fr_100g_scaled,additives_n_scaled,product_name,ingredients_text,categories,main_category,nutrition_grade_fr,countries_en
0.5108053995062599,0.4014467436207649,-0.6180518529534405,0.782013762443569,1.1421724070161527,-0.24912628667158238,-0.002008019596136422,-0.0020098042867448553,0.6835422330466668,1.5212624239156667,0.8471499709856655,all butter belgian white chocolate chunk cookies,morceaux de chocolat blanc sucre lait en poudre entier beurre de cacao lait en poudre ecreme emulsifiant lecithine de soja arome vanille farine de ble avec farine de ble carbonate de calcium fer niacine thiamine beurre sucre fecule de mais poudre a lever e bicarbonate de soude e sirop de sucre inverti sel,snacks sucres biscuits et gateaux biscuits cookies,en sugary snacks,e,france united kingdom
0.6664091699743943,0.44141812456383606,0.1107770746025044,0.09092857415076541,0.6503054381711314,-0.31585832211449644,-0.024141638834728415,-0.02414321667071668,0.28222065425754683,0.8848834039066584,0.4830432586866854,all butter fruity flapjack cookies,sucre beurre lait flocons davoine contient du gluten farine de blecontient du gluten avec du ble du carbonate de calcium du fer de la niacine de la thiamine raisins secs noix de coco dessechee abricots seches abricots farine de riz conservateur e sulfites golden syrup sirop de sucre inverti oeufs pasteurises agent de levage bicarbonate de sodium e e sel melasse,cookies cookies au raisin,en sugary snacks,e,france united kingdom
-0.15310402115777977,-0.10929867954070115,0.18617317055656762,1.0230899909178028,0.8630046679419514,0.6183901740862996,-0.03722059565753252,-0.037222051261245226,0.7356436309947281,0.37578018789945195,0.8471499709856655,cookies aux pistaches amandes,farine de ble contient gluten avec farine de ble carbonate de calcium fer niacine thiamine beurre lait sucre eclats de pistaches eclats damandes sirop de sucre inverti poudre a lever e e bicarbonate de soude lait en poudre sel,cookies,en sugary snacks,d,france
0.9101884103744715,0.8056018176007076,-0.2662034051678119,-0.334972762820381,0.02550145071934717,-0.43263938413959585,-0.027159859639990847,-0.027161409268530938,0.16816083712800747,1.01215920790846,0.4830432586866854,all butter cranberry orange cookies,farine de ble contient gluten avec farine de ble carbonate de calcium fer niacine thiamine canneberges deshydratees sucrees sucre canneberges antioxydant acide citrique huile de tournesol sucre beurre lait sirop de glucose fecule de mais lait en poudre poudre a lever e bicarbonate de soude e sel arome orange i,cookies,en sugary snacks,e,france united kingdom
0.4226299295743172,0.6323925001807322,-0.11541121325968547,0.11503619699818884,0.7034802456138363,-0.14902823350721142,-0.04426311086981186,-0.044264500656145504,0.41177007618245576,0.7576075999048568,0.8471499709856655,cookies stem ginger,farine de ble contient gluten avec farine de ble carbonate de calcium fer niacine thiamine beurre lait gingembre confit cristallise gingembre confit sucre sucre flocons davoine contiennent gluten sirop de sucre inverti gingembre moulu poudre a lever e bicarbonate de soude e lait en poudre ecreme sel,snacks sucres biscuits et gateaux biscuits cookies,en sugary snacks,e,belgium france netherlands united kingdom
0.6249148311828919,0.9255159604299216,-0.31646746913718743,-0.4876543741873956,-0.1871977790514729,-0.14902823350721142,-0.019111270825957434,-0.019112895674359413,0.17238527479947188,0.5030559919012536,1.2112566832846456,stem ginger cookies,farine de ble contient gluten avec farine de ble carbonate de calcium fer niacine thiamine sucre gingembre confit cristallise gingembre sucre de canne beurre lait flocons davoine contient gluten avoine grossierement moulue contient gluten fecule de mais lait en poudre ecreme emulsifiant lecithine de soja poudre a lever e bicarbonate de soude e sirop de sucre inverti gingembre moulu sel,cookies,en sugary snacks,d,belgium france netherlands united kingdom
0.4226299295743172,0.6323925001807322,-0.11541121325968547,0.11503619699818884,0.7034802456138363,-0.14902823350721142,-0.045269184471565936,-0.04527056485541676,0.41458636796343207,0.7576075999048568,0.8471499709856655,stem ginger dunkers,farine de ble contient gluten avec farine de ble carbonate de calcium fer niacine thiamine beurre lait gingembre confit cristallise gingembre confit sucre sucre flocons davoine contiennent gluten sirop de sucre inverti gingembre moulu poudre a lever e bicarbonate de soude e lait en poudre ecreme sel,cookies,en sugary snacks,e,france united kingdom
0.2981469131998097,0.21491363255309923,-0.46725966104531397,0.5971886539466564,-0.1074355678874154,-0.16571124236793988,-0.06539065650664948,-0.06539184884084556,0.48358551659735094,0.5030559919012536,0.11893654638770537,indulgent chewy maple syrup pecan giant cookies,farine de ble contient gluten avec farine de ble calcium fer niacine thiamine sucre noix de pecan beurre lait huile de palme huile de colza sirop sirop de sucre inverti fructose sucre roux lait ecreme maltodextrine sirop de sucre oeufs de poules en poudre poudre a lever bicarbonate de soude e sel,cookies cookies aux noix de pecan,en sugary snacks,d,france
0.35520162903812563,0.5835385901392006,-0.14054324524437312,0.17128731697551,0.22490697862949102,-0.1823942512286683,4.127607371933572e-06,2.324111797894733e-06,0.42162709741587273,0.8848834039066584,-0.9733835905092348,all butter summer trifle coockirs,desconocido,cookies,en sugary snacks,e,france
1.548163869293822,0.19270730980694853,-0.5175237250146894,1.0552334880477006,1.554277164697117,-0.0322471714821119,-0.08249390773647058,-0.08249494022846014,0.7863368830523011,1.2667108159120632,-0.6092768782102548,hollow milk chocolate decorated r d figure,sugar dried whole milk cocoa butter cocoa mass emulsifier soja lecithin dried skimmed milk butter oil milk vanilla flavouring,snacks sucres chocolats moulages en chocolat chocolate droid produits sous license chocolats au lait,en sugary snacks,e,france united kingdom
0.5004318148083842,0.7700717012068666,0.7315382646242918,0.5891527796641819,0.6503054381711314,-0.05393508300105893,-0.008949927448240238,-0.008832931686203815,0.765214694694979,1.01215920790846,-0.2451701659112747,hello panda,wheat flour vegetable shortening partially hydrogenated palm canola oils sugar malt syrup lactose whole milk powder skim milk powder emulsifier soya lecithin seasoning natural leavening ammonium bicarbonate sodium bicarbonate salt sugar flavor milk flavor,snacks cookies,en sugary snacks,e,united states
1.3666261370809987,0.02838052148543324,-0.31646746913718743,1.6579240592332851,2.205668555870253,-0.33254133097522487,-0.08028054581261139,-0.0802564473850812,1.004599496077963,1.2667108159120632,-0.2451701659112747,creme brulee,sugar cocoa butter milk milkfat chocolate lactose caramelized sugar skim milk crumbled wafer wheat flour rice flour sugar leavening sodium bicarbonate palm oil soya lecithin emulsifier barley malt powder artificial flavors milk chocolate contains cocoa solids min milk solids min,sugary snacks chocolates milk chocolates,en sugary snacks,e,united states
1.4962959458044438,0.2504437489469402,-0.31646746913718743,1.0552334880477006,1.5409834628364405,0.08453389054298764,-0.0866188095036627,-0.08664495505045484,0.8637849070291488,1.1394350119102616,-0.6092768782102548,creation hazelnut torte milk chocolate,sugar almond and hazelnut praline almonds sugar hazelnuts cocoa butter lactose palm oil skim milk soya lecithin emulsifier milkfat barley malt powder coffee artificial flavor,sugary snacks chocolates milk chocolates,en sugary snacks,e,united states
1.3666261370809987,0.2504437489469402,-0.31646746913718743,0.8543366309858391,1.5409834628364405,-0.33254133097522487,-0.0866188095036627,-0.08664495505045484,0.7229703179803348,1.1394350119102616,-0.2451701659112747,molten lava cake,sugar cocoa butter milk chocolate milkfat lactose invert sugar fat reduced cocoa glucose syrup from wheat almonds sorbitol skim milk soya lecithin emulsifier hazelnuts barley malt powder artificial flavor bourbon vanilla beans,chocolate,en sugary snacks,e,united states
-1.0919134363155234,0.05058684423158394,-0.11541121325968547,0.7498702653136711,1.3415779349262966,0.8519522981364986,0.08350823655296863,0.08350565265132744,0.6596037529083685,0.7576075999048568,-0.9733835905092348,cheese twists,farine de ble beurre non sale gruyeredeg lait ecreme sel levure farine dorge maltee sucre,snacks sucres biscuits et gateaux snacks sales aperitif biscuits biscuits aperitifs biscuits feuilletes,en sugary snacks,e,france
1.43405443761719,0.8811033149376202,-0.9447682687543812,-0.318901014255432,0.07468814760384945,-0.7396067471770004,-0.03379994541156841,-0.03387588173446851,0.18787487959484142,1.393986619913865,-0.2451701659112747,milk duds,corn syrup sugar vegetable oil cocoa butter palm shea sunflower and or safflower oil dextrose nonfat milk reduced protein whey milk chocolate contains or less of brown sugar whey milk mono and diglycerides sodium bicarbonate milk f,sugary snacks confectioneries candies,en sugary snacks,e,united states
